threshold,recall_in_domain,precision_in_domain,f1_in_domain,false_reject_rate,false_accept_rate
0.05,0.9719859196245233,0.9343014239390949,0.9527711882682768,0.028014080375476678,0.07297212652677733
0.06,0.9715459078908771,0.9369165487977369,0.9539170506912442,0.02845409210912291,0.06984027560288131
0.07,0.9705192138457025,0.9384484470287903,0.9542144350710218,0.029480786154297448,0.06796116504854369
0.08,0.969492519800528,0.9398549694298308,0.9544437224749115,0.030507480199471988,0.06623864704040087
0.09,0.9691991786447639,0.9410424380518371,0.9549132947976878,0.030800821355236138,0.06482931412464767
0.1,0.9690525080668818,0.9422418710781517,0.9554591467823572,0.030947491933118215,0.06341998120889446
0.11,0.9686124963332355,0.9431590974007427,0.9557163531114327,0.031387503666764446,0.062323833385530845
0.12,0.9684658257553534,0.9436901529226811,0.9559174809989143,0.03153417424464652,0.061697463200751645
0.13,0.9680258140217073,0.9446114212108201,0.9561752988047809,0.031974185978292755,0.06060131537738803
0.14,0.9678791434438252,0.9451446576912059,0.956376811594203,0.03212085655617483,0.05997494519260883
0.15,0.967585802288061,0.9460777283808978,0.9567108984120078,0.032414197711938986,0.05887879736924522
0.16,0.9671457905544147,0.9463260619977037,0.956622660670245,0.03285420944558522,0.058565612276855625
0.17,0.9669991199765328,0.9467260195290064,0.9567551879262808,0.033000880023467294,0.05809583463827122
0.18,0.9669991199765328,0.9471340324665997,0.9569634951738153,0.033000880023467294,0.057626056999686814
0.19,0.9669991199765328,0.9482237882928233,0.9575194248783675,0.033000880023467294,0.05637331663012841
0.2,0.9665591082428865,0.948610911184684,0.9575009081002542,0.033440891757113525,0.055903538991544
0.21,0.9662657670871223,0.9492795389048991,0.9576973397296119,0.03373423291287768,0.055120576260569994
0.22,0.9661190965092402,0.9496828143021915,0.9578304493238331,0.033880903490759756,0.054650798621985595
0.23,0.9659724259313581,0.9502236329533977,0.9580333115135645,0.03402757406864183,0.05402442843720639
0.24,0.9653857436198299,0.9504693140794224,0.9578694608164158,0.034614256380170134,0.053711243344816785
0.25,0.9649457318861836,0.9504478474429355,0.9576419213973798,0.035054268113816366,0.053711243344816785
0.26,0.9647990613083015,0.9508528476438277,0.9577751892836343,0.03520093869169844,0.05324146570623239
0.27,0.9646523907304195,0.9509832272990167,0.9577690403378477,0.03534760926958052,0.053084873160037585
0.28,0.9645057201525374,0.9511136823835695,0.9577628896009321,0.0354942798474626,0.05292828061384278
0.29,0.9642123789967733,0.9517880411177067,0.9579599271402549,0.03578762100322675,0.052145317882868775
0.3,0.963772367263127,0.9521808433560354,0.9579415409286391,0.03622763273687298,0.05167554024428437
0.31,0.9634790261073629,0.9524430911990721,0.9579292745169524,0.036520973892637136,0.05136235515189477
0.32,0.9631856849515987,0.9527056434063542,0.9579170009481438,0.03681431504840129,0.05104917005950517
0.33,0.9628923437958345,0.9531068524970964,0.9579746096600029,0.037107656204165444,0.050579392420920764
0.34,0.9628923437958345,0.9532452446638594,0.9580445093031741,0.037107656204165444,0.05042279987472596
0.35,0.9625990026400704,0.9532316630355846,0.9578924323140917,0.0374009973599296,0.05042279987472596
0.36,0.9624523320621883,0.9536404592355763,0.958026133294401,0.037547667937811675,0.04995302223614156
0.37,0.9621589909064242,0.9539043187436382,0.9580138736765244,0.03784100909357583,0.049639837143751954
0.38,0.9617189791727779,0.9544395924308589,0.9580654587960258,0.03828102082722206,0.049013466958972754
0.39,0.9615723085948958,0.9548499854354792,0.9581993569131834,0.03842769140510414,0.04854368932038835
0.4,0.9615723085948958,0.9552673757831852,0.9584094729917404,0.03842769140510414,0.048073911681803944
0.41,0.9612789674391317,0.9556722076407116,0.9584673881251828,0.03872103256086829,0.047604134043219545
0.42,0.9612789674391317,0.9558115794079043,0.9585374771480802,0.03872103256086829,0.047447541497024744
0.43,0.9612789674391317,0.9560904449307075,0.9586776859504132,0.03872103256086829,0.04713435640463514
0.44,0.9609856262833676,0.9564963503649635,0.9587357330992098,0.039014373716632446,0.046664578766050735
0.45,0.9608389557054855,0.9566296728971962,0.958729694131421,0.03916104429451452,0.04650798621985593
0.46,0.9606922851276034,0.9570426651081239,0.9588640023422632,0.0393077148723966,0.04603820858127153
0.47,0.9605456145497213,0.9573161818447595,0.9589281792224906,0.03945438545027868,0.04572502348888193
0.48,0.9603989439718392,0.9578700994733762,0.9591328548410721,0.039601056028160754,0.045098653304102725
0.49,0.9602522733939571,0.9578639356254572,0.959056617593203,0.03974772660604283,0.045098653304102725
0.5,0.9599589322381931,0.9584126519256113,0.9591851689015901,0.04004106776180698,0.04447228311932352
0.51,0.9599589322381931,0.9586934231726967,0.9593257603517772,0.04004106776180698,0.04415909802693392
0.52,0.959812261660311,0.958968347010551,0.9593901187509162,0.040187738339689055,0.04384591293454432
0.53,0.9596655910824289,0.9591029023746702,0.9593841642228739,0.04033440891757113,0.043689320388349516
0.54,0.9595189205045468,0.9592375366568915,0.9593782079483796,0.04048107949545321,0.043532727842154714
0.55,0.9593722499266647,0.9593722499266647,0.9593722499266647,0.040627750073335286,0.04337613529595991
0.56,0.9593722499266647,0.9595129822502567,0.9594426109277595,0.040627750073335286,0.04321954274976511
0.57,0.9592255793487826,0.9597886703845024,0.9595070422535211,0.040774420651217363,0.04290635765737551
